koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
CANDIDATE,,0,0,0,0,91.649983,0.00318,-0.00318,175.7156,0.0286,-0.0286,0.2136,0.2282,-0.2135,10.294,0.939,-0.939,194.0,23.9,-23.9,2.27,1.27,-0.54,568.0,24.57,41.53,-12.19,8.7,2.0,6705.0,164.0,-233.0,4.145,0.164,-0.164,1.608,0.905,-0.383,294.93198,39.81242,12.964
FALSE POSITIVE,0.0,1,0,1,1,0.866344816,1.6e-06,-1.6e-06,132.06358,0.00163,-0.00163,0.318,0.135,-0.318,1.9188,0.0547,-0.0547,234.0,6.0,-6.0,6.85,1.52,-0.16,3569.0,38575.44,24242.58,-3799.76,46.5,1.0,4936.0,109.0,-69.0,3.055,0.028,-0.031,4.527,1.003,-0.106,296.13901,39.579632,12.945
CONFIRMED,1.0,0,0,0,0,219.3215562,0.000852,-0.000852,320.72862,0.00218,-0.00218,0.244,0.078,-0.244,12.4124,0.0964,-0.0964,3630.0,41.2,-41.2,6.11,1.52,-0.65,313.0,2.27,1.71,-0.67,93.8,1.0,6063.0,181.0,-181.0,4.476,0.055,-0.165,1.012,0.252,-0.108,287.47763,46.141178,15.273
CANDIDATE,1.0,0,0,0,0,8.95294046,8.73e-05,-8.73e-05,134.33731,0.00765,-0.00765,0.718,0.051,-0.507,2.995,0.229,-0.229,44.0,4.0,-4.0,0.86,0.14,-0.15,1012.0,247.66,111.75,-92.96,13.0,1.0,6047.0,120.0,-132.0,4.266,0.156,-0.104,1.207,0.191,-0.21,298.26816,41.251663,11.458
CANDIDATE,0.989,0,0,0,0,6.63448023,9.81e-05,-9.81e-05,137.0694,0.0102,-0.0102,0.116,0.339,-0.116,3.603,0.284,-0.284,71.2,8.0,-8.0,1.04,0.33,-0.16,1177.0,453.27,406.47,-171.57,10.3,1.0,6463.0,155.0,-214.0,4.313,0.105,-0.195,1.225,0.384,-0.192,296.92773,40.429661,13.805
CANDIDATE,0.206,0,0,0,0,128.208643,0.00198,-0.00198,230.1943,0.0108,-0.0108,0.811,0.163,-0.566,2.745,0.509,-0.509,212.0,30.7,-30.7,6.15,0.65,-2.44,792.0,93.05,35.71,-64.05,8.9,2.0,7128.0,224.0,-274.0,3.52,0.352,-0.088,3.811,0.403,-1.51,290.80057,44.270512,11.036
FALSE POSITIVE,0.0,0,0,1,1,0.933728755,8.98e-06,-8.98e-06,131.54241,0.00942,-0.00942,0.645,0.039,-0.494,4.363,0.248,-0.248,13.5,1.0,-1.0,0.72,0.2,-0.22,2777.0,14057.75,11618.71,-8330.73,17.9,1.0,6652.0,187.0,-258.0,4.036,0.264,-0.176,1.863,0.519,-0.576,292.83698,47.55394,10.959
FALSE POSITIVE,0.0,0,1,1,0,2.645596805,1.35e-06,-1.35e-06,133.705953,0.000434,-0.000434,1.239,2.89,-0.111,2.9095,0.0222,-0.0222,1270.0,8.9,-8.9,167.05,25.3,-46.9,2452.0,8539.63,3248.45,-4427.83,166.8,1.0,4980.0,51.0,-88.0,3.167,0.174,-0.116,5.443,0.823,-1.529,290.08661,46.945202,12.375
CANDIDATE,,0,0,0,0,173.219879,0.00286,-0.00286,201.2993,0.0119,-0.0119,0.5113,0.4676,-0.2697,1.875,0.411,-0.411,240.0,56.0,-56.0,2.41,1.22,-0.65,405.0,6.39,9.75,-3.42,5.7,1.0,6007.0,164.0,-203.0,4.158,0.21,-0.276,1.518,0.768,-0.41,293.61044,45.160938,13.957
CANDIDATE,,0,0,0,0,73.4567573,,,172.3647107,,,,,,2.74,,,,,,,,,,,,,,3.0,,,,,,,,,,287.9856,44.147202,11.538
